reservation_id,customer_id,room_id,booking_channel_id,payment_type_id,date_key,stay_length,total_services_used,total_service_amount,amount,rating
56,39,12,3,2,20240321,2,3,1150.0,1950.0,
57,29,25,1,1,20241124,5,1,300.0,3300.0,5.0
58,17,7,1,1,20241104,6,1,450.0,1650.0,2.0
59,9,24,1,1,20240303,5,0,0.0,3000.0,
60,22,3,3,2,20240712,3,3,650.0,1250.0,5.0
61,39,29,1,2,20240929,1,0,0.0,600.0,5.0
62,39,28,3,3,20240312,1,0,0.0,600.0,5.0
63,12,25,2,3,20241108,3,2,650.0,2450.0,1.0
64,33,28,4,2,20240104,1,0,0.0,600.0,3.0
65,10,18,3,3,20240722,6,3,1800.0,4200.0,3.0
66,31,19,4,2,20240419,2,0,0.0,800.0,4.0
67,25,3,4,1,20240227,3,3,2650.0,3250.0,5.0
68,29,8,1,1,20241122,7,1,750.0,2150.0,
69,9,2,3,2,20240414,2,2,2300.0,2700.0,4.0
70,5,29,2,1,20240626,2,1,500.0,1700.0,5.0
71,36,5,2,3,20240103,3,2,2450.0,3050.0,3.0
72,18,10,3,3,20240620,7,1,600.0,2000.0,5.0
73,45,20,3,2,20241125,3,0,0.0,1200.0,3.0
74,26,3,1,1,20240505,6,1,2000.0,3200.0,5.0
75,44,29,1,1,20240916,4,1,750.0,3150.0,2.0
76,43,26,3,3,20240920,1,1,1500.0,2100.0,5.0
77,14,16,1,1,20240229,2,0,0.0,800.0,1.0
78,38,15,3,2,20240421,2,3,1450.0,2250.0,
79,49,18,3,3,20241226,7,1,200.0,3000.0,
80,34,26,2,2,20240924,7,0,0.0,4200.0,1.0
81,30,28,3,1,20241209,6,2,650.0,4250.0,
82,1,20,2,1,20240917,6,1,600.0,3000.0,
83,49,1,1,1,20241028,2,1,2500.0,2900.0,2.0
84,45,8,3,1,20240611,7,1,150.0,1550.0,2.0
85,29,17,1,1,20240624,5,1,200.0,2200.0,
86,37,7,3,1,20240602,3,0,0.0,600.0,
87,44,8,2,1,20240502,2,0,0.0,400.0,4.0
88,27,7,1,1,20240108,3,0,0.0,600.0,4.0
89,3,9,2,2,20240416,5,2,1200.0,2200.0,1.0
90,21,4,2,2,20240211,5,0,0.0,1000.0,3.0
91,23,22,4,2,20241225,4,1,150.0,2550.0,3.0
92,17,7,1,2,20240708,7,3,3450.0,4850.0,1.0
93,17,25,4,1,20240620,2,0,0.0,1200.0,2.0
94,3,23,3,3,20241005,6,0,0.0,3600.0,2.0
95,50,24,2,2,20240504,2,2,950.0,2150.0,
96,2,11,3,2,20240208,6,1,2500.0,4900.0,4.0
97,5,7,2,3,20240605,3,1,750.0,1350.0,
98,19,17,4,3,20240119,5,1,500.0,2500.0,1.0
99,35,16,1,3,20240818,5,3,3200.0,5200.0,
100,49,21,2,1,20241007,1,3,1400.0,2000.0,3.0
101,47,11,1,2,20241020,5,2,2800.0,4800.0,
102,32,24,1,1,20240726,1,1,200.0,800.0,3.0
103,49,7,1,1,20240608,6,0,0.0,1200.0,
104,35,20,4,1,20240109,2,2,800.0,1600.0,
105,33,5,1,1,20241207,3,3,1550.0,2150.0,
106,6,4,2,1,20240520,1,0,0.0,200.0,
107,47,3,1,2,20240405,2,1,1000.0,1400.0,
108,39,16,3,2,20240912,4,2,3300.0,4900.0,
109,20,17,2,2,20240613,3,3,2750.0,3950.0,3.0
110,45,5,3,2,20241121,5,0,0.0,1000.0,3.0
111,21,12,3,3,20240316,2,3,1200.0,2000.0,1.0
112,14,5,4,3,20241208,1,2,2100.0,2300.0,
113,21,19,1,3,20241106,7,0,0.0,2800.0,4.0
114,3,3,3,3,20240609,3,0,0.0,600.0,2.0
115,26,21,1,2,20240124,5,0,0.0,3000.0,1.0
116,31,6,3,1,20240211,7,2,2600.0,4000.0,3.0
117,6,21,1,1,20240604,2,0,0.0,1200.0,4.0
118,10,12,4,2,20240217,2,1,2000.0,2800.0,
119,9,13,1,1,20240315,1,2,2800.0,3200.0,
120,2,29,3,1,20240926,6,1,300.0,3900.0,5.0
121,37,17,1,3,20240713,2,0,0.0,800.0,
122,23,9,4,2,20240912,6,2,2250.0,3450.0,3.0
123,8,2,1,3,20241129,7,2,1500.0,2900.0,
124,8,6,4,2,20240714,5,1,300.0,1300.0,
125,26,16,4,1,20240716,1,1,450.0,850.0,3.0
126,15,7,1,1,20240121,2,0,0.0,400.0,
127,16,16,1,2,20240304,1,0,0.0,400.0,
128,29,30,2,2,20241129,3,0,0.0,1800.0,3.0
129,28,22,3,2,20240927,6,0,0.0,3600.0,
130,17,8,3,3,20240805,5,1,750.0,1750.0,4.0
131,25,23,3,2,20240219,2,3,1300.0,2500.0,3.0
132,27,11,2,3,20241026,7,1,600.0,3400.0,
133,41,26,2,1,20241211,2,1,2500.0,3700.0,3.0
134,6,4,1,2,20240216,1,3,1550.0,1750.0,4.0
135,34,8,2,2,20240607,1,3,1750.0,1950.0,
136,40,7,2,3,20241107,3,2,950.0,1550.0,3.0
137,9,3,4,2,20240902,7,1,600.0,2000.0,1.0
138,32,26,4,3,20240229,3,1,400.0,2200.0,1.0
139,50,25,2,3,20241004,1,1,200.0,800.0,
140,35,28,4,3,20240103,7,0,0.0,4200.0,
141,43,19,1,2,20240531,6,0,0.0,2400.0,
142,46,22,2,2,20240501,2,0,0.0,1200.0,4.0
143,9,18,3,2,20240831,6,2,1300.0,3700.0,2.0
144,7,6,1,3,20240109,3,0,0.0,600.0,5.0
145,11,26,3,1,20240122,1,3,2000.0,2600.0,4.0
146,1,27,4,3,20240829,6,1,150.0,3750.0,1.0
147,11,19,4,3,20240327,2,0,0.0,800.0,
148,9,27,1,3,20241103,6,0,0.0,3600.0,4.0
149,49,25,3,1,20240913,4,3,1750.0,4150.0,3.0
150,6,14,1,2,20241119,7,1,800.0,3600.0,
151,41,25,1,1,20240114,3,3,1500.0,3300.0,
152,13,1,1,2,20240721,4,1,500.0,1300.0,2.0
153,20,29,4,1,20240628,7,1,100.0,4300.0,1.0
154,24,19,3,2,20240616,7,0,0.0,2800.0,
155,4,10,4,2,20240209,2,3,1900.0,2300.0,2.0
156,10,24,4,1,20241118,7,3,1100.0,5300.0,4.0
157,16,13,2,1,20241026,5,1,750.0,2750.0,
158,30,7,4,1,20240613,2,2,1600.0,2000.0,5.0
159,14,16,1,3,20240508,3,2,2950.0,4150.0,4.0
160,26,15,1,3,20240717,2,1,100.0,900.0,3.0
161,13,26,1,3,20240129,3,0,0.0,1800.0,4.0
162,38,14,1,2,20240224,6,1,500.0,2900.0,
163,16,29,2,1,20240624,6,3,2250.0,5850.0,2.0
164,42,17,3,3,20240526,1,3,2600.0,3000.0,5.0
165,12,14,3,2,20240505,3,0,0.0,1200.0,3.0
166,11,7,4,2,20240916,2,2,1900.0,2300.0,
167,35,24,4,1,20241106,4,0,0.0,2400.0,3.0
168,17,24,4,1,20241223,7,0,0.0,4200.0,
169,49,18,3,3,20240407,6,1,750.0,3150.0,
170,48,4,1,1,20240229,2,1,800.0,1200.0,1.0
171,48,6,3,3,20240210,2,2,1400.0,1800.0,3.0
172,26,20,1,1,20240422,4,1,150.0,1750.0,4.0
173,39,8,3,1,20241107,7,0,0.0,1400.0,
174,19,28,1,3,20240616,6,1,1000.0,4600.0,4.0
175,1,28,3,3,20240113,7,0,0.0,4200.0,2.0
176,29,25,2,1,20240702,7,1,2500.0,6700.0,
177,28,25,2,1,20241222,4,3,800.0,3200.0,
178,20,12,1,2,20240709,4,0,0.0,1600.0,
179,16,25,2,1,20241117,1,0,0.0,600.0,1.0
180,31,27,4,3,20240512,5,3,1900.0,4900.0,
181,32,17,3,1,20241118,6,1,600.0,3000.0,5.0
182,31,10,2,1,20240717,6,1,300.0,1500.0,
183,29,3,1,3,20240917,5,3,2000.0,3000.0,2.0
184,39,14,1,3,20240328,3,0,0.0,1200.0,
185,23,26,4,1,20240416,1,3,3350.0,3950.0,3.0
186,21,21,3,1,20240620,5,0,0.0,3000.0,5.0
187,32,1,3,1,20241031,5,1,200.0,1200.0,2.0
188,8,30,1,3,20241030,3,2,900.0,2700.0,
189,5,13,1,3,20241005,5,3,1850.0,3850.0,4.0
190,6,7,4,1,20241002,5,2,850.0,1850.0,3.0
191,40,10,2,3,20240926,3,2,2300.0,2900.0,4.0
192,33,27,3,3,20240831,2,0,0.0,1200.0,1.0
193,48,22,4,2,20240627,3,2,1700.0,3500.0,
194,11,27,4,2,20241103,1,2,3300.0,3900.0,5.0
195,35,28,3,1,20240102,2,3,3100.0,4300.0,3.0
196,45,10,4,1,20240610,2,2,2650.0,3050.0,4.0
197,18,30,4,3,20241016,2,2,1100.0,2300.0,1.0
198,45,3,3,1,20241001,5,1,100.0,1100.0,
199,15,26,1,3,20240828,1,3,1250.0,1850.0,5.0
200,22,1,3,3,20240303,3,1,1500.0,2100.0,
201,39,4,2,3,20240730,3,2,450.0,1050.0,
202,10,25,4,3,20240518,3,2,3500.0,5300.0,
203,5,26,2,3,20240606,2,2,650.0,1850.0,5.0
204,22,17,2,1,20240202,7,3,1550.0,4350.0,4.0
205,19,17,3,3,20240901,7,2,800.0,3600.0,
206,30,12,4,3,20240927,4,2,900.0,2500.0,1.0
207,36,8,4,3,20240327,4,3,3350.0,4150.0,1.0
208,4,4,4,2,20241111,4,2,500.0,1300.0,1.0
209,5,12,1,1,20240926,3,2,700.0,1900.0,5.0
210,22,6,2,2,20241225,3,3,2050.0,2650.0,
211,33,12,2,1,20241201,4,3,1300.0,2900.0,1.0
212,7,19,1,1,20240906,2,0,0.0,800.0,5.0
213,37,24,4,3,20240923,4,0,0.0,2400.0,1.0
214,12,4,2,3,20240104,5,0,0.0,1000.0,1.0
215,44,22,3,2,20241011,2,2,2400.0,3600.0,5.0
216,7,5,3,3,20240329,2,1,1000.0,1400.0,5.0
217,39,8,1,2,20240829,6,2,1800.0,3000.0,1.0
218,12,7,2,2,20240516,5,3,2250.0,3250.0,4.0
219,2,3,2,2,20241109,2,0,0.0,400.0,
220,8,17,2,3,20240407,3,0,0.0,1200.0,3.0
221,25,26,1,2,20240819,2,3,1400.0,2600.0,
222,3,1,1,3,20241028,6,2,700.0,1900.0,2.0
223,10,6,4,3,20241009,6,1,1500.0,2700.0,
224,11,9,2,1,20240513,6,0,0.0,1200.0,4.0
225,49,20,1,1,20240401,6,2,600.0,3000.0,
226,14,16,2,2,20240527,5,3,3200.0,5200.0,
227,48,28,4,3,20240820,3,3,950.0,2750.0,1.0
228,1,16,4,2,20241228,6,0,0.0,2400.0,
229,24,3,3,1,20241105,4,3,2500.0,3300.0,1.0
230,16,29,1,2,20240222,2,2,950.0,2150.0,5.0
231,12,6,1,3,20240725,7,3,1550.0,2950.0,1.0
232,49,4,1,2,20240929,2,2,700.0,1100.0,1.0
233,24,19,3,2,20240113,6,1,300.0,2700.0,3.0
234,7,13,1,3,20240721,6,1,1500.0,3900.0,
235,25,19,2,1,20240314,5,0,0.0,2000.0,
236,45,2,1,1,20240304,1,0,0.0,200.0,
237,12,11,2,3,20241119,3,0,0.0,1200.0,
238,25,18,1,3,20240608,3,3,1750.0,2950.0,
239,6,30,3,3,20240128,2,0,0.0,1200.0,1.0
240,45,20,3,2,20241020,2,1,800.0,1600.0,
241,28,19,2,2,20240524,4,1,500.0,2100.0,
242,20,3,3,1,20241003,5,1,200.0,1200.0,5.0
243,4,25,4,2,20241001,3,2,2900.0,4700.0,5.0
244,2,15,1,1,20240510,2,3,1200.0,2000.0,
245,12,7,2,2,20240201,6,1,100.0,1300.0,5.0
246,18,12,4,3,20241019,2,3,2750.0,3550.0,4.0
247,24,5,2,2,20240815,5,0,0.0,1000.0,1.0
248,30,13,2,3,20240705,2,0,0.0,800.0,
249,15,1,3,3,20241227,3,2,1200.0,1800.0,
250,5,21,1,3,20241204,4,1,600.0,3000.0,1.0
251,23,18,1,2,20240811,1,3,1350.0,1750.0,2.0
252,44,13,4,2,20240627,6,3,1150.0,3550.0,
253,34,21,4,2,20240415,3,3,2300.0,4100.0,1.0
254,32,25,1,1,20240313,7,2,1100.0,5300.0,2.0
255,19,5,3,2,20240103,4,3,2050.0,2850.0,4.0
256,33,27,2,3,20240324,5,0,0.0,3000.0,
257,34,7,3,3,20241009,2,1,600.0,1000.0,
258,44,21,4,3,20240715,4,0,0.0,2400.0,2.0
259,29,3,4,2,20240730,6,1,400.0,1600.0,3.0
260,50,22,2,1,20240217,3,0,0.0,1800.0,5.0
261,48,7,2,3,20240311,4,2,2300.0,3100.0,
262,36,10,3,3,20240725,1,0,0.0,200.0,
263,19,25,2,3,20240510,2,0,0.0,1200.0,
264,41,11,4,2,20240924,6,2,500.0,2900.0,
265,18,7,1,3,20241227,4,3,2100.0,2900.0,4.0
266,33,7,1,2,20241128,4,2,1200.0,2000.0,3.0
267,30,11,4,1,20240317,2,2,2900.0,3700.0,2.0
268,43,9,2,2,20240618,1,3,1700.0,1900.0,
269,18,21,1,2,20240208,4,0,0.0,2400.0,4.0
270,3,18,3,2,20240415,4,1,300.0,1900.0,
271,4,19,3,1,20240228,6,0,0.0,2400.0,
272,18,15,3,3,20240225,1,0,0.0,400.0,
273,48,7,2,3,20240221,2,2,500.0,900.0,
274,9,3,3,1,20240309,4,2,1400.0,2200.0,
275,49,13,1,2,20240602,6,1,1000.0,3400.0,
276,3,7,2,3,20240422,7,1,1000.0,2400.0,5.0
277,32,4,2,3,20240518,2,1,750.0,1150.0,4.0
278,50,2,4,2,20240430,1,0,0.0,200.0,
279,42,21,1,1,20240525,4,3,2000.0,4400.0,5.0
280,20,16,1,1,20240306,7,0,0.0,2800.0,2.0
281,39,29,3,2,20240804,3,1,2500.0,4300.0,
282,4,2,1,2,20240124,7,2,850.0,2250.0,1.0
283,41,21,1,3,20241122,3,0,0.0,1800.0,5.0
284,36,17,1,2,20240213,2,0,0.0,800.0,3.0
285,1,16,1,1,20240309,2,3,2600.0,3400.0,5.0
286,31,3,3,3,20240413,7,3,2400.0,3800.0,3.0
287,10,11,2,1,20240620,2,1,300.0,1100.0,3.0
288,31,16,4,1,20240901,6,0,0.0,2400.0,1.0
289,29,28,3,3,20240217,2,1,1000.0,2200.0,
290,9,29,4,1,20240415,1,0,0.0,600.0,5.0
291,42,16,4,2,20240818,2,1,200.0,1000.0,1.0
292,28,2,4,3,20240520,1,3,1300.0,1500.0,4.0
293,50,29,2,2,20240623,2,0,0.0,1200.0,
294,46,23,2,3,20241215,1,3,3100.0,3700.0,
295,19,29,4,2,20240129,2,2,2000.0,3200.0,1.0
296,50,23,3,3,20240412,7,0,0.0,4200.0,2.0
297,25,30,2,2,20240420,2,0,0.0,1200.0,5.0
298,49,6,3,2,20241111,6,2,1100.0,2300.0,
299,36,9,2,3,20240701,4,0,0.0,800.0,1.0
300,36,16,2,1,20240305,1,2,500.0,900.0,
301,21,8,1,3,20240512,3,0,0.0,600.0,2.0
302,2,20,2,2,20240509,6,1,500.0,2900.0,5.0
303,3,30,2,2,20240413,5,2,1100.0,4100.0,5.0
304,18,17,2,2,20241106,1,0,0.0,400.0,
305,7,1,2,2,20240615,2,2,1200.0,1600.0,
306,8,28,1,2,20240228,4,2,1450.0,3850.0,
307,13,30,2,2,20240904,6,0,0.0,3600.0,
308,32,2,1,2,20240224,6,3,1550.0,2750.0,5.0
309,29,4,1,3,20241028,5,0,0.0,1000.0,5.0
310,43,23,3,2,20240923,6,2,2400.0,6000.0,4.0
311,20,14,4,1,20241226,5,0,0.0,2000.0,5.0
312,16,20,4,1,20240518,7,2,1300.0,4100.0,
313,19,26,2,3,20240731,7,0,0.0,4200.0,1.0
314,49,11,3,1,20240208,6,1,200.0,2600.0,
315,32,8,4,2,20240728,7,3,1050.0,2450.0,
316,7,19,3,2,20240903,6,0,0.0,2400.0,3.0
317,1,19,4,2,20240303,6,3,1950.0,4350.0,
318,6,17,2,3,20241116,1,2,550.0,950.0,5.0
319,19,27,4,2,20241126,2,2,550.0,1750.0,3.0
320,30,10,4,1,20241001,3,1,1000.0,1600.0,5.0
321,48,15,1,3,20240125,6,1,150.0,2550.0,3.0
322,26,28,2,3,20240105,4,2,1050.0,3450.0,1.0
323,32,28,2,3,20240502,3,3,2900.0,4700.0,
324,39,10,1,2,20240926,1,3,2150.0,2350.0,2.0
325,2,9,2,3,20240727,1,3,2450.0,2650.0,3.0
326,32,30,2,3,20240602,2,1,600.0,1800.0,3.0
327,31,30,2,3,20240706,4,0,0.0,2400.0,
328,47,9,1,1,20240311,6,2,1400.0,2600.0,4.0
329,44,29,2,2,20240120,1,3,4000.0,4600.0,
330,23,1,1,3,20240825,4,3,1350.0,2150.0,3.0
331,26,4,1,1,20240126,1,2,1200.0,1400.0,2.0
332,28,12,1,1,20240630,5,2,1950.0,3950.0,
333,22,10,3,3,20240611,7,0,0.0,1400.0,
334,43,3,1,2,20240704,7,2,3000.0,4400.0,1.0
335,24,18,2,2,20241016,6,0,0.0,2400.0,2.0
336,3,24,2,3,20240629,3,0,0.0,1800.0,2.0
337,49,8,4,1,20240623,1,1,100.0,300.0,
338,17,22,3,1,20240524,7,1,200.0,4400.0,
339,14,19,1,3,20241212,3,0,0.0,1200.0,4.0
340,27,1,4,3,20240617,2,1,2500.0,2900.0,3.0
341,23,27,1,2,20240715,5,3,1650.0,4650.0,1.0
342,15,19,2,3,20240602,6,1,500.0,2900.0,1.0
343,9,20,3,1,20241030,1,3,1050.0,1450.0,3.0
344,12,20,4,3,20240902,1,3,3250.0,3650.0,3.0
345,11,4,2,1,20241120,1,0,0.0,200.0,
346,9,26,1,2,20240804,6,0,0.0,3600.0,2.0
347,20,20,2,2,20240219,3,1,300.0,1500.0,3.0
348,30,11,4,1,20240923,3,0,0.0,1200.0,
349,4,20,4,3,20240202,7,1,1500.0,4300.0,2.0
350,13,26,3,1,20240117,6,3,1400.0,5000.0,
351,18,6,1,2,20241209,3,3,1200.0,1800.0,
352,46,30,3,2,20240505,2,2,2650.0,3850.0,
353,16,4,1,2,20240608,4,3,1550.0,2350.0,3.0
354,9,3,1,3,20240104,7,1,750.0,2150.0,1.0
355,43,30,4,3,20240210,5,1,100.0,3100.0,3.0
356,37,8,2,3,20240530,7,3,2050.0,3450.0,
357,19,26,3,2,20240423,3,1,2500.0,4300.0,1.0
358,40,4,4,2,20241220,4,0,0.0,800.0,4.0
359,47,14,4,3,20241104,3,3,1750.0,2950.0,5.0
360,25,3,2,2,20240107,4,3,1350.0,2150.0,3.0
361,37,8,2,1,20240123,5,3,1600.0,2600.0,4.0
362,19,12,3,3,20240519,3,0,0.0,1200.0,1.0
363,3,9,1,1,20240817,6,1,150.0,1350.0,
364,45,14,1,2,20240212,5,2,1000.0,3000.0,
365,10,22,2,1,20241007,1,3,2250.0,2850.0,
366,22,3,4,1,20240503,6,0,0.0,1200.0,
367,50,25,3,1,20241115,7,3,1750.0,5950.0,
368,5,13,3,2,20240902,5,1,400.0,2400.0,
369,24,15,1,2,20240101,4,3,2200.0,3800.0,5.0
370,38,30,1,1,20240818,4,1,500.0,2900.0,2.0
371,11,18,4,3,20240809,5,2,2300.0,4300.0,5.0
372,26,15,3,1,20241123,7,1,300.0,3100.0,
373,35,11,3,1,20241014,1,0,0.0,400.0,
374,7,2,1,3,20240521,1,2,1300.0,1500.0,4.0
375,21,20,1,1,20240816,2,2,850.0,1650.0,4.0
376,35,19,2,1,20240913,3,0,0.0,1200.0,1.0
377,6,4,2,1,20240504,2,3,3200.0,3600.0,2.0
378,18,11,4,1,20240429,5,0,0.0,2000.0,1.0
379,30,17,2,2,20240327,6,3,950.0,3350.0,2.0
380,30,15,3,2,20240611,3,3,2900.0,4100.0,2.0
381,36,29,1,2,20240721,1,0,0.0,600.0,3.0
382,28,22,2,3,20241003,4,1,2000.0,4400.0,1.0
383,16,11,4,3,20240423,5,2,700.0,2700.0,1.0
384,12,23,1,1,20240909,1,3,2650.0,3250.0,
385,41,11,1,3,20241214,2,3,2000.0,2800.0,
386,48,6,3,2,20240609,7,0,0.0,1400.0,2.0
387,44,11,3,2,20241017,7,2,1800.0,4600.0,5.0
388,46,3,1,3,20240715,1,0,0.0,200.0,2.0
389,37,7,1,3,20240425,6,0,0.0,1200.0,1.0
390,7,12,3,3,20241210,3,3,2250.0,3450.0,1.0
391,13,3,1,3,20240928,7,2,1450.0,2850.0,1.0
392,29,2,3,2,20240608,7,3,1900.0,3300.0,3.0
393,10,4,2,2,20240126,5,2,800.0,1800.0,5.0
394,38,29,4,2,20241025,5,1,200.0,3200.0,4.0
395,30,2,3,2,20240911,2,0,0.0,400.0,5.0
396,41,27,1,3,20240406,5,0,0.0,3000.0,5.0
397,9,20,4,2,20240907,4,2,1250.0,2850.0,4.0
398,26,13,3,1,20240517,5,0,0.0,2000.0,1.0
399,22,23,1,3,20241222,1,3,1900.0,2500.0,3.0
400,20,12,1,3,20240619,3,3,2650.0,3850.0,3.0
401,16,27,3,2,20240623,6,2,1250.0,4850.0,2.0
402,35,28,2,1,20240118,4,2,500.0,2900.0,4.0
403,27,29,4,1,20240302,6,3,1000.0,4600.0,2.0
404,30,16,4,3,20240524,7,3,2500.0,5300.0,
405,10,17,4,2,20240803,5,0,0.0,2000.0,3.0
406,9,28,1,2,20240622,7,1,450.0,4650.0,5.0
407,12,23,4,3,20240618,2,0,0.0,1200.0,
408,5,15,2,3,20240209,1,3,950.0,1350.0,
409,14,22,4,2,20240901,7,1,1000.0,5200.0,4.0
410,38,30,2,3,20240529,4,1,500.0,2900.0,1.0
411,33,14,3,3,20240620,4,0,0.0,1600.0,
412,1,11,3,1,20240708,6,3,1450.0,3850.0,5.0
413,41,12,2,1,20240605,1,2,950.0,1350.0,
414,31,22,4,3,20240720,7,3,1750.0,5950.0,4.0
415,9,17,2,1,20240528,7,2,500.0,3300.0,1.0
416,37,16,1,3,20240324,2,3,2300.0,3100.0,4.0
417,9,30,4,2,20240118,7,0,0.0,4200.0,4.0
418,25,7,3,1,20241019,6,0,0.0,1200.0,1.0
419,14,7,4,2,20240402,5,0,0.0,1000.0,
420,20,8,3,1,20240409,3,1,450.0,1050.0,
421,32,9,2,2,20240525,2,1,300.0,700.0,
422,25,18,4,1,20241209,4,1,300.0,1900.0,
423,24,11,4,1,20241109,2,3,2650.0,3450.0,
424,40,19,1,1,20241104,5,0,0.0,2000.0,5.0
425,47,3,1,3,20241128,3,3,1350.0,1950.0,
426,35,25,1,3,20240122,7,3,2000.0,6200.0,3.0
427,20,20,1,3,20240613,7,2,750.0,3550.0,4.0
428,47,25,2,3,20240229,7,0,0.0,4200.0,2.0
429,29,5,4,3,20240606,3,2,2800.0,3400.0,3.0
430,22,11,2,2,20240719,6,0,0.0,2400.0,2.0
431,36,30,2,2,20240401,7,2,250.0,4450.0,3.0
432,23,11,1,1,20240127,3,1,1000.0,2200.0,
433,34,11,3,3,20241210,5,3,1350.0,3350.0,
434,29,26,2,3,20240715,7,1,200.0,4400.0,3.0
435,33,6,3,3,20240221,6,1,750.0,1950.0,
436,46,14,3,2,20241023,5,0,0.0,2000.0,
437,31,4,1,3,20240813,6,3,1950.0,3150.0,
438,22,14,4,2,20241119,2,3,2150.0,2950.0,4.0
439,30,13,2,1,20240706,3,0,0.0,1200.0,1.0
440,31,16,2,2,20241216,2,2,1900.0,2700.0,4.0
441,44,17,4,3,20240429,7,2,700.0,3500.0,4.0
442,19,23,2,2,20240522,1,0,0.0,600.0,
443,20,19,2,2,20241108,3,1,1000.0,2200.0,4.0
444,36,9,4,1,20241212,1,3,3200.0,3400.0,
445,5,14,3,3,20241102,6,0,0.0,2400.0,1.0
446,35,14,2,1,20240205,6,1,200.0,2600.0,
447,2,11,4,1,20240329,7,3,2350.0,5150.0,
448,28,13,3,3,20240313,1,0,0.0,400.0,3.0
449,46,3,1,2,20240106,4,1,400.0,1200.0,1.0
450,9,19,3,1,20241105,6,0,0.0,2400.0,5.0
451,18,28,3,3,20240907,4,2,650.0,3050.0,2.0
452,18,19,2,1,20241129,5,2,1650.0,3650.0,
453,18,16,3,1,20240312,2,0,0.0,800.0,
454,4,7,2,3,20241004,7,3,1900.0,3300.0,
455,25,11,1,3,20240406,3,1,500.0,1700.0,2.0
456,18,28,4,3,20240329,3,0,0.0,1800.0,3.0
457,2,1,4,3,20240312,6,0,0.0,1200.0,
458,33,11,3,1,20240111,6,1,600.0,3000.0,2.0
459,47,28,1,1,20240229,6,2,2100.0,5700.0,4.0
