booking_id,customer_id,room_id,booking_channel_id,check_in_date,check_out_date,stay_length
93,17,25,4,2024-06-20T00:00:00,2024-06-22T00:00:00,2
94,3,23,3,2024-10-05T00:00:00,2024-10-11T00:00:00,6
95,50,24,2,2024-05-04T00:00:00,2024-05-06T00:00:00,2
96,2,11,3,2024-02-08T00:00:00,2024-02-14T00:00:00,6
97,5,7,2,2024-06-05T00:00:00,2024-06-08T00:00:00,3
98,19,17,4,2024-01-19T00:00:00,2024-01-24T00:00:00,5
99,35,16,1,2024-08-18T00:00:00,2024-08-23T00:00:00,5
100,49,21,2,2024-10-07T00:00:00,2024-10-08T00:00:00,1
101,47,11,1,2024-10-20T00:00:00,2024-10-25T00:00:00,5
102,32,24,1,2024-07-26T00:00:00,2024-07-27T00:00:00,1
103,49,7,1,2024-06-08T00:00:00,2024-06-14T00:00:00,6
104,35,20,4,2024-01-09T00:00:00,2024-01-11T00:00:00,2
105,33,5,1,2024-12-07T00:00:00,2024-12-10T00:00:00,3
106,6,4,2,2024-05-20T00:00:00,2024-05-21T00:00:00,1
107,47,3,1,2024-04-05T00:00:00,2024-04-07T00:00:00,2
108,39,16,3,2024-09-12T00:00:00,2024-09-16T00:00:00,4
109,20,17,2,2024-06-13T00:00:00,2024-06-16T00:00:00,3
110,45,5,3,2024-11-21T00:00:00,2024-11-26T00:00:00,5
111,21,12,3,2024-03-16T00:00:00,2024-03-18T00:00:00,2
112,14,5,4,2024-12-08T00:00:00,2024-12-09T00:00:00,1
113,21,19,1,2024-11-06T00:00:00,2024-11-13T00:00:00,7
114,3,3,3,2024-06-09T00:00:00,2024-06-12T00:00:00,3
115,26,21,1,2024-01-24T00:00:00,2024-01-29T00:00:00,5
116,31,6,3,2024-02-11T00:00:00,2024-02-18T00:00:00,7
117,6,21,1,2024-06-04T00:00:00,2024-06-06T00:00:00,2
118,10,12,4,2024-02-17T00:00:00,2024-02-19T00:00:00,2
119,9,13,1,2024-03-15T00:00:00,2024-03-16T00:00:00,1
120,2,29,3,2024-09-26T00:00:00,2024-10-02T00:00:00,6
121,37,17,1,2024-07-13T00:00:00,2024-07-15T00:00:00,2
122,23,9,4,2024-09-12T00:00:00,2024-09-18T00:00:00,6
123,8,2,1,2024-11-29T00:00:00,2024-12-06T00:00:00,7
124,8,6,4,2024-07-14T00:00:00,2024-07-19T00:00:00,5
125,26,16,4,2024-07-16T00:00:00,2024-07-17T00:00:00,1
126,15,7,1,2024-01-21T00:00:00,2024-01-23T00:00:00,2
127,16,16,1,2024-03-04T00:00:00,2024-03-05T00:00:00,1
128,29,30,2,2024-11-29T00:00:00,2024-12-02T00:00:00,3
129,28,22,3,2024-09-27T00:00:00,2024-10-03T00:00:00,6
130,17,8,3,2024-08-05T00:00:00,2024-08-10T00:00:00,5
131,25,23,3,2024-02-19T00:00:00,2024-02-21T00:00:00,2
132,27,11,2,2024-10-26T00:00:00,2024-11-02T00:00:00,7
133,41,26,2,2024-12-11T00:00:00,2024-12-13T00:00:00,2
134,6,4,1,2024-02-16T00:00:00,2024-02-17T00:00:00,1
135,34,8,2,2024-06-07T00:00:00,2024-06-08T00:00:00,1
136,40,7,2,2024-11-07T00:00:00,2024-11-10T00:00:00,3
137,9,3,4,2024-09-02T00:00:00,2024-09-09T00:00:00,7
138,32,26,4,2024-02-29T00:00:00,2024-03-03T00:00:00,3
139,50,25,2,2024-10-04T00:00:00,2024-10-05T00:00:00,1
140,35,28,4,2024-01-03T00:00:00,2024-01-10T00:00:00,7
141,43,19,1,2024-05-31T00:00:00,2024-06-06T00:00:00,6
142,46,22,2,2024-05-01T00:00:00,2024-05-03T00:00:00,2
143,9,18,3,2024-08-31T00:00:00,2024-09-06T00:00:00,6
144,7,6,1,2024-01-09T00:00:00,2024-01-12T00:00:00,3
145,11,26,3,2024-01-22T00:00:00,2024-01-23T00:00:00,1
146,1,27,4,2024-08-29T00:00:00,2024-09-04T00:00:00,6
147,11,19,4,2024-03-27T00:00:00,2024-03-29T00:00:00,2
148,9,27,1,2024-11-03T00:00:00,2024-11-09T00:00:00,6
149,49,25,3,2024-09-13T00:00:00,2024-09-17T00:00:00,4
150,6,14,1,2024-11-19T00:00:00,2024-11-26T00:00:00,7
151,41,25,1,2024-01-14T00:00:00,2024-01-17T00:00:00,3
152,13,1,1,2024-07-21T00:00:00,2024-07-25T00:00:00,4
153,20,29,4,2024-06-28T00:00:00,2024-07-05T00:00:00,7
154,24,19,3,2024-06-16T00:00:00,2024-06-23T00:00:00,7
155,4,10,4,2024-02-09T00:00:00,2024-02-11T00:00:00,2
156,10,24,4,2024-11-18T00:00:00,2024-11-25T00:00:00,7
157,16,13,2,2024-10-26T00:00:00,2024-10-31T00:00:00,5
158,30,7,4,2024-06-13T00:00:00,2024-06-15T00:00:00,2
159,14,16,1,2024-05-08T00:00:00,2024-05-11T00:00:00,3
160,26,15,1,2024-07-17T00:00:00,2024-07-19T00:00:00,2
161,13,26,1,2024-01-29T00:00:00,2024-02-01T00:00:00,3
162,38,14,1,2024-02-24T00:00:00,2024-03-01T00:00:00,6
163,16,29,2,2024-06-24T00:00:00,2024-06-30T00:00:00,6
164,42,17,3,2024-05-26T00:00:00,2024-05-27T00:00:00,1
165,12,14,3,2024-05-05T00:00:00,2024-05-08T00:00:00,3
166,11,7,4,2024-09-16T00:00:00,2024-09-18T00:00:00,2
167,35,24,4,2024-11-06T00:00:00,2024-11-10T00:00:00,4
168,17,24,4,2024-12-23T00:00:00,2024-12-30T00:00:00,7
169,49,18,3,2024-04-07T00:00:00,2024-04-13T00:00:00,6
170,48,4,1,2024-02-29T00:00:00,2024-03-02T00:00:00,2
171,48,6,3,2024-02-10T00:00:00,2024-02-12T00:00:00,2
172,26,20,1,2024-04-22T00:00:00,2024-04-26T00:00:00,4
173,39,8,3,2024-11-07T00:00:00,2024-11-14T00:00:00,7
174,19,28,1,2024-06-16T00:00:00,2024-06-22T00:00:00,6
175,1,28,3,2024-01-13T00:00:00,2024-01-20T00:00:00,7
176,29,25,2,2024-07-02T00:00:00,2024-07-09T00:00:00,7
177,28,25,2,2024-12-22T00:00:00,2024-12-26T00:00:00,4
178,20,12,1,2024-07-09T00:00:00,2024-07-13T00:00:00,4
179,16,25,2,2024-11-17T00:00:00,2024-11-18T00:00:00,1
180,31,27,4,2024-05-12T00:00:00,2024-05-17T00:00:00,5
181,32,17,3,2024-11-18T00:00:00,2024-11-24T00:00:00,6
182,31,10,2,2024-07-17T00:00:00,2024-07-23T00:00:00,6
183,29,3,1,2024-09-17T00:00:00,2024-09-22T00:00:00,5
184,39,14,1,2024-03-28T00:00:00,2024-03-31T00:00:00,3
185,23,26,4,2024-04-16T00:00:00,2024-04-17T00:00:00,1
186,21,21,3,2024-06-20T00:00:00,2024-06-25T00:00:00,5
187,32,1,3,2024-10-31T00:00:00,2024-11-05T00:00:00,5
188,8,30,1,2024-10-30T00:00:00,2024-11-02T00:00:00,3
189,5,13,1,2024-10-05T00:00:00,2024-10-10T00:00:00,5
190,6,7,4,2024-10-02T00:00:00,2024-10-07T00:00:00,5
191,40,10,2,2024-09-26T00:00:00,2024-09-29T00:00:00,3
192,33,27,3,2024-08-31T00:00:00,2024-09-02T00:00:00,2
193,48,22,4,2024-06-27T00:00:00,2024-06-30T00:00:00,3
194,11,27,4,2024-11-03T00:00:00,2024-11-04T00:00:00,1
195,35,28,3,2024-01-02T00:00:00,2024-01-04T00:00:00,2
196,45,10,4,2024-06-10T00:00:00,2024-06-12T00:00:00,2
197,18,30,4,2024-10-16T00:00:00,2024-10-18T00:00:00,2
198,45,3,3,2024-10-01T00:00:00,2024-10-06T00:00:00,5
199,15,26,1,2024-08-28T00:00:00,2024-08-29T00:00:00,1
200,22,1,3,2024-03-03T00:00:00,2024-03-06T00:00:00,3
201,39,4,2,2024-07-30T00:00:00,2024-08-02T00:00:00,3
202,10,25,4,2024-05-18T00:00:00,2024-05-21T00:00:00,3
203,5,26,2,2024-06-06T00:00:00,2024-06-08T00:00:00,2
204,22,17,2,2024-02-02T00:00:00,2024-02-09T00:00:00,7
205,19,17,3,2024-09-01T00:00:00,2024-09-08T00:00:00,7
206,30,12,4,2024-09-27T00:00:00,2024-10-01T00:00:00,4
207,36,8,4,2024-03-27T00:00:00,2024-03-31T00:00:00,4
208,4,4,4,2024-11-11T00:00:00,2024-11-15T00:00:00,4
209,5,12,1,2024-09-26T00:00:00,2024-09-29T00:00:00,3
210,22,6,2,2024-12-25T00:00:00,2024-12-28T00:00:00,3
211,33,12,2,2024-12-01T00:00:00,2024-12-05T00:00:00,4
212,7,19,1,2024-09-06T00:00:00,2024-09-08T00:00:00,2
213,37,24,4,2024-09-23T00:00:00,2024-09-27T00:00:00,4
214,12,4,2,2024-01-04T00:00:00,2024-01-09T00:00:00,5
215,44,22,3,2024-10-11T00:00:00,2024-10-13T00:00:00,2
216,7,5,3,2024-03-29T00:00:00,2024-03-31T00:00:00,2
217,39,8,1,2024-08-29T00:00:00,2024-09-04T00:00:00,6
218,12,7,2,2024-05-16T00:00:00,2024-05-21T00:00:00,5
219,2,3,2,2024-11-09T00:00:00,2024-11-11T00:00:00,2
220,8,17,2,2024-04-07T00:00:00,2024-04-10T00:00:00,3
221,25,26,1,2024-08-19T00:00:00,2024-08-21T00:00:00,2
222,3,1,1,2024-10-28T00:00:00,2024-11-03T00:00:00,6
223,10,6,4,2024-10-09T00:00:00,2024-10-15T00:00:00,6
224,11,9,2,2024-05-13T00:00:00,2024-05-19T00:00:00,6
225,49,20,1,2024-04-01T00:00:00,2024-04-07T00:00:00,6
226,14,16,2,2024-05-27T00:00:00,2024-06-01T00:00:00,5
227,48,28,4,2024-08-20T00:00:00,2024-08-23T00:00:00,3
228,1,16,4,2024-12-28T00:00:00,2025-01-03T00:00:00,6
229,24,3,3,2024-11-05T00:00:00,2024-11-09T00:00:00,4
230,16,29,1,2024-02-22T00:00:00,2024-02-24T00:00:00,2
231,12,6,1,2024-07-25T00:00:00,2024-08-01T00:00:00,7
232,49,4,1,2024-09-29T00:00:00,2024-10-01T00:00:00,2
233,24,19,3,2024-01-13T00:00:00,2024-01-19T00:00:00,6
234,7,13,1,2024-07-21T00:00:00,2024-07-27T00:00:00,6
235,25,19,2,2024-03-14T00:00:00,2024-03-19T00:00:00,5
236,45,2,1,2024-03-04T00:00:00,2024-03-05T00:00:00,1
237,12,11,2,2024-11-19T00:00:00,2024-11-22T00:00:00,3
238,25,18,1,2024-06-08T00:00:00,2024-06-11T00:00:00,3
239,6,30,3,2024-01-28T00:00:00,2024-01-30T00:00:00,2
240,45,20,3,2024-10-20T00:00:00,2024-10-22T00:00:00,2
241,28,19,2,2024-05-24T00:00:00,2024-05-28T00:00:00,4
242,20,3,3,2024-10-03T00:00:00,2024-10-08T00:00:00,5
243,4,25,4,2024-10-01T00:00:00,2024-10-04T00:00:00,3
244,2,15,1,2024-05-10T00:00:00,2024-05-12T00:00:00,2
245,12,7,2,2024-02-01T00:00:00,2024-02-07T00:00:00,6
246,18,12,4,2024-10-19T00:00:00,2024-10-21T00:00:00,2
247,24,5,2,2024-08-15T00:00:00,2024-08-20T00:00:00,5
248,30,13,2,2024-07-05T00:00:00,2024-07-07T00:00:00,2
249,15,1,3,2024-12-27T00:00:00,2024-12-30T00:00:00,3
250,5,21,1,2024-12-04T00:00:00,2024-12-08T00:00:00,4
251,23,18,1,2024-08-11T00:00:00,2024-08-12T00:00:00,1
252,44,13,4,2024-06-27T00:00:00,2024-07-03T00:00:00,6
253,34,21,4,2024-04-15T00:00:00,2024-04-18T00:00:00,3
254,32,25,1,2024-03-13T00:00:00,2024-03-20T00:00:00,7
255,19,5,3,2024-01-03T00:00:00,2024-01-07T00:00:00,4
256,33,27,2,2024-03-24T00:00:00,2024-03-29T00:00:00,5
257,34,7,3,2024-10-09T00:00:00,2024-10-11T00:00:00,2
258,44,21,4,2024-07-15T00:00:00,2024-07-19T00:00:00,4
259,29,3,4,2024-07-30T00:00:00,2024-08-05T00:00:00,6
260,50,22,2,2024-02-17T00:00:00,2024-02-20T00:00:00,3
261,48,7,2,2024-03-11T00:00:00,2024-03-15T00:00:00,4
262,36,10,3,2024-07-25T00:00:00,2024-07-26T00:00:00,1
263,19,25,2,2024-05-10T00:00:00,2024-05-12T00:00:00,2
264,41,11,4,2024-09-24T00:00:00,2024-09-30T00:00:00,6
265,18,7,1,2024-12-27T00:00:00,2024-12-31T00:00:00,4
266,33,7,1,2024-11-28T00:00:00,2024-12-02T00:00:00,4
267,30,11,4,2024-03-17T00:00:00,2024-03-19T00:00:00,2
268,43,9,2,2024-06-18T00:00:00,2024-06-19T00:00:00,1
269,18,21,1,2024-02-08T00:00:00,2024-02-12T00:00:00,4
270,3,18,3,2024-04-15T00:00:00,2024-04-19T00:00:00,4
271,4,19,3,2024-02-28T00:00:00,2024-03-05T00:00:00,6
272,18,15,3,2024-02-25T00:00:00,2024-02-26T00:00:00,1
273,48,7,2,2024-02-21T00:00:00,2024-02-23T00:00:00,2
274,9,3,3,2024-03-09T00:00:00,2024-03-13T00:00:00,4
275,49,13,1,2024-06-02T00:00:00,2024-06-08T00:00:00,6
276,3,7,2,2024-04-22T00:00:00,2024-04-29T00:00:00,7
277,32,4,2,2024-05-18T00:00:00,2024-05-20T00:00:00,2
278,50,2,4,2024-04-30T00:00:00,2024-05-01T00:00:00,1
279,42,21,1,2024-05-25T00:00:00,2024-05-29T00:00:00,4
280,20,16,1,2024-03-06T00:00:00,2024-03-13T00:00:00,7
281,39,29,3,2024-08-04T00:00:00,2024-08-07T00:00:00,3
282,4,2,1,2024-01-24T00:00:00,2024-01-31T00:00:00,7
283,41,21,1,2024-11-22T00:00:00,2024-11-25T00:00:00,3
284,36,17,1,2024-02-13T00:00:00,2024-02-15T00:00:00,2
285,1,16,1,2024-03-09T00:00:00,2024-03-11T00:00:00,2
286,31,3,3,2024-04-13T00:00:00,2024-04-20T00:00:00,7
287,10,11,2,2024-06-20T00:00:00,2024-06-22T00:00:00,2
288,31,16,4,2024-09-01T00:00:00,2024-09-07T00:00:00,6
289,29,28,3,2024-02-17T00:00:00,2024-02-19T00:00:00,2
290,9,29,4,2024-04-15T00:00:00,2024-04-16T00:00:00,1
291,42,16,4,2024-08-18T00:00:00,2024-08-20T00:00:00,2
292,28,2,4,2024-05-20T00:00:00,2024-05-21T00:00:00,1
293,50,29,2,2024-06-23T00:00:00,2024-06-25T00:00:00,2
294,46,23,2,2024-12-15T00:00:00,2024-12-16T00:00:00,1
295,19,29,4,2024-01-29T00:00:00,2024-01-31T00:00:00,2
296,50,23,3,2024-04-12T00:00:00,2024-04-19T00:00:00,7
297,25,30,2,2024-04-20T00:00:00,2024-04-22T00:00:00,2
298,49,6,3,2024-11-11T00:00:00,2024-11-17T00:00:00,6
299,36,9,2,2024-07-01T00:00:00,2024-07-05T00:00:00,4
300,36,16,2,2024-03-05T00:00:00,2024-03-06T00:00:00,1
301,21,8,1,2024-05-12T00:00:00,2024-05-15T00:00:00,3
302,2,20,2,2024-05-09T00:00:00,2024-05-15T00:00:00,6
303,3,30,2,2024-04-13T00:00:00,2024-04-18T00:00:00,5
304,18,17,2,2024-11-06T00:00:00,2024-11-07T00:00:00,1
305,7,1,2,2024-06-15T00:00:00,2024-06-17T00:00:00,2
306,8,28,1,2024-02-28T00:00:00,2024-03-03T00:00:00,4
307,13,30,2,2024-09-04T00:00:00,2024-09-10T00:00:00,6
308,32,2,1,2024-02-24T00:00:00,2024-03-01T00:00:00,6
309,29,4,1,2024-10-28T00:00:00,2024-11-02T00:00:00,5
310,43,23,3,2024-09-23T00:00:00,2024-09-29T00:00:00,6
311,20,14,4,2024-12-26T00:00:00,2024-12-31T00:00:00,5
312,16,20,4,2024-05-18T00:00:00,2024-05-25T00:00:00,7
313,19,26,2,2024-07-31T00:00:00,2024-08-07T00:00:00,7
314,49,11,3,2024-02-08T00:00:00,2024-02-14T00:00:00,6
315,32,8,4,2024-07-28T00:00:00,2024-08-04T00:00:00,7
316,7,19,3,2024-09-03T00:00:00,2024-09-09T00:00:00,6
317,1,19,4,2024-03-03T00:00:00,2024-03-09T00:00:00,6
318,6,17,2,2024-11-16T00:00:00,2024-11-17T00:00:00,1
319,19,27,4,2024-11-26T00:00:00,2024-11-28T00:00:00,2
320,30,10,4,2024-10-01T00:00:00,2024-10-04T00:00:00,3
321,48,15,1,2024-01-25T00:00:00,2024-01-31T00:00:00,6
322,26,28,2,2024-01-05T00:00:00,2024-01-09T00:00:00,4
323,32,28,2,2024-05-02T00:00:00,2024-05-05T00:00:00,3
324,39,10,1,2024-09-26T00:00:00,2024-09-27T00:00:00,1
325,2,9,2,2024-07-27T00:00:00,2024-07-28T00:00:00,1
326,32,30,2,2024-06-02T00:00:00,2024-06-04T00:00:00,2
327,31,30,2,2024-07-06T00:00:00,2024-07-10T00:00:00,4
328,47,9,1,2024-03-11T00:00:00,2024-03-17T00:00:00,6
329,44,29,2,2024-01-20T00:00:00,2024-01-21T00:00:00,1
330,23,1,1,2024-08-25T00:00:00,2024-08-29T00:00:00,4
331,26,4,1,2024-01-26T00:00:00,2024-01-27T00:00:00,1
332,28,12,1,2024-06-30T00:00:00,2024-07-05T00:00:00,5
333,22,10,3,2024-06-11T00:00:00,2024-06-18T00:00:00,7
334,43,3,1,2024-07-04T00:00:00,2024-07-11T00:00:00,7
335,24,18,2,2024-10-16T00:00:00,2024-10-22T00:00:00,6
336,3,24,2,2024-06-29T00:00:00,2024-07-02T00:00:00,3
337,49,8,4,2024-06-23T00:00:00,2024-06-24T00:00:00,1
338,17,22,3,2024-05-24T00:00:00,2024-05-31T00:00:00,7
339,14,19,1,2024-12-12T00:00:00,2024-12-15T00:00:00,3
340,27,1,4,2024-06-17T00:00:00,2024-06-19T00:00:00,2
341,23,27,1,2024-07-15T00:00:00,2024-07-20T00:00:00,5
342,15,19,2,2024-06-02T00:00:00,2024-06-08T00:00:00,6
343,9,20,3,2024-10-30T00:00:00,2024-10-31T00:00:00,1
344,12,20,4,2024-09-02T00:00:00,2024-09-03T00:00:00,1
345,11,4,2,2024-11-20T00:00:00,2024-11-21T00:00:00,1
346,9,26,1,2024-08-04T00:00:00,2024-08-10T00:00:00,6
347,20,20,2,2024-02-19T00:00:00,2024-02-22T00:00:00,3
348,30,11,4,2024-09-23T00:00:00,2024-09-26T00:00:00,3
349,4,20,4,2024-02-02T00:00:00,2024-02-09T00:00:00,7
350,13,26,3,2024-01-17T00:00:00,2024-01-23T00:00:00,6
351,18,6,1,2024-12-09T00:00:00,2024-12-12T00:00:00,3
352,46,30,3,2024-05-05T00:00:00,2024-05-07T00:00:00,2
353,16,4,1,2024-06-08T00:00:00,2024-06-12T00:00:00,4
354,9,3,1,2024-01-04T00:00:00,2024-01-11T00:00:00,7
355,43,30,4,2024-02-10T00:00:00,2024-02-15T00:00:00,5
356,37,8,2,2024-05-30T00:00:00,2024-06-06T00:00:00,7
357,19,26,3,2024-04-23T00:00:00,2024-04-26T00:00:00,3
358,40,4,4,2024-12-20T00:00:00,2024-12-24T00:00:00,4
359,47,14,4,2024-11-04T00:00:00,2024-11-07T00:00:00,3
360,25,3,2,2024-01-07T00:00:00,2024-01-11T00:00:00,4
361,37,8,2,2024-01-23T00:00:00,2024-01-28T00:00:00,5
362,19,12,3,2024-05-19T00:00:00,2024-05-22T00:00:00,3
363,3,9,1,2024-08-17T00:00:00,2024-08-23T00:00:00,6
364,45,14,1,2024-02-12T00:00:00,2024-02-17T00:00:00,5
365,10,22,2,2024-10-07T00:00:00,2024-10-08T00:00:00,1
366,22,3,4,2024-05-03T00:00:00,2024-05-09T00:00:00,6
367,50,25,3,2024-11-15T00:00:00,2024-11-22T00:00:00,7
368,5,13,3,2024-09-02T00:00:00,2024-09-07T00:00:00,5
369,24,15,1,2024-01-01T00:00:00,2024-01-05T00:00:00,4
370,38,30,1,2024-08-18T00:00:00,2024-08-22T00:00:00,4
371,11,18,4,2024-08-09T00:00:00,2024-08-14T00:00:00,5
372,26,15,3,2024-11-23T00:00:00,2024-11-30T00:00:00,7
373,35,11,3,2024-10-14T00:00:00,2024-10-15T00:00:00,1
374,7,2,1,2024-05-21T00:00:00,2024-05-22T00:00:00,1
375,21,20,1,2024-08-16T00:00:00,2024-08-18T00:00:00,2
376,35,19,2,2024-09-13T00:00:00,2024-09-16T00:00:00,3
377,6,4,2,2024-05-04T00:00:00,2024-05-06T00:00:00,2
378,18,11,4,2024-04-29T00:00:00,2024-05-04T00:00:00,5
379,30,17,2,2024-03-27T00:00:00,2024-04-02T00:00:00,6
380,30,15,3,2024-06-11T00:00:00,2024-06-14T00:00:00,3
381,36,29,1,2024-07-21T00:00:00,2024-07-22T00:00:00,1
382,28,22,2,2024-10-03T00:00:00,2024-10-07T00:00:00,4
383,16,11,4,2024-04-23T00:00:00,2024-04-28T00:00:00,5
384,12,23,1,2024-09-09T00:00:00,2024-09-10T00:00:00,1
385,41,11,1,2024-12-14T00:00:00,2024-12-16T00:00:00,2
386,48,6,3,2024-06-09T00:00:00,2024-06-16T00:00:00,7
